@relation movieGross

@attribute actor_1_facebook_likes numeric
@attribute actor_2_facebook_likes numeric
@attribute actor_3_facebook_likes numeric
@attribute aspect_ratio numeric
@attribute budget numeric
@attribute cast_total_facebook_likes numeric
@attribute director_facebook_likes numeric
@attribute duration numeric
@attribute facenumber_in_poster numeric
@attribute imdb_score numeric
@attribute movie_facebook_likes numeric
@attribute num_critic_for_reviews numeric
@attribute num_user_for_reviews numeric
@attribute num_voted_users numeric
@attribute title_year numeric
@attribute gross numeric

@data
823.0,759.0,699.0,2.35,10000000.0,5262.0,60.0,111.0,0.0,5.5,0.0,23.0,122.0,5612.0,2012.0,3333823.0
116.0,110.0,100.0,1.85,15000000.0,525.0,49.0,115.0,0.0,6.7,0.0,50.0,64.0,12596.0,2014.0,30127963.0
24000.0,14000.0,405.0,2.35,18000000.0,39307.0,655.0,111.0,1.0,6.9,0.0,217.0,111.0,31898.0,2013.0,13362308.0
93.0,17.0,11.0,2.35,12000000.0,146.0,16.0,110.0,0.0,6.5,15000.0,216.0,349.0,57996.0,2012.0,70011073.0
2000.0,1000.0,838.0,2.35,185000000.0,5005.0,56.0,93.0,0.0,7.2,39000.0,488.0,428.0,273556.0,2012.0,237282182.0
11000.0,10000.0,1000.0,2.35,120000000.0,22004.0,364.0,124.0,0.0,7.0,71000.0,539.0,892.0,387436.0,2013.0,89021735.0
2000.0,820.0,557.0,2.35,92000000.0,4270.0,0.0,152.0,0.0,7.7,10000.0,200.0,1103.0,292022.0,2001.0,108638745.0
12000.0,919.0,845.0,1.85,54000000.0,15371.0,0.0,117.0,1.0,6.7,0.0,224.0,559.0,158267.0,2002.0,81645152.0
23000.0,1000.0,517.0,2.35,7000000.0,25462.0,126.0,102.0,1.0,7.6,18000.0,288.0,1061.0,357275.0,2000.0,15047419.0
852.0,581.0,271.0,1.85,15000000.0,2592.0,14000.0,154.0,0.0,7.8,6000.0,70.0,199.0,60988.0,1985.0,94175854.0
962.0,266.0,240.0,2.35,25000000.0,1591.0,0.0,107.0,3.0,6.8,0.0,160.0,69.0,9264.0,2008.0,1186957.0
137000.0,459.0,163.0,2.35,27000000.0,137712.0,190.0,88.0,6.0,5.7,0.0,107.0,110.0,26236.0,2009.0,15988876.0
935.0,448.0,181.0,1.85,2800000.0,1855.0,152.0,88.0,0.0,5.3,0.0,110.0,270.0,21359.0,1988.0,19170001.0
1000.0,668.0,472.0,2.35,16000000.0,3142.0,10.0,101.0,2.0,5.1,0.0,167.0,126.0,24012.0,2009.0,11956207.0
2000.0,1000.0,1000.0,2.35,20000000.0,6657.0,102.0,127.0,0.0,7.0,0.0,92.0,174.0,26434.0,2002.0,75597042.0
1000.0,184.0,153.0,1.85,60000.0,1362.0,0.0,87.0,0.0,5.3,30.0,32.0,83.0,1622.0,1998.0,536767.0
513.0,257.0,246.0,2.35,500000.0,1269.0,214.0,95.0,0.0,6.3,0.0,255.0,209.0,25750.0,2011.0,26297.0
116.0,93.0,46.0,2.35,6000000.0,312.0,176.0,94.0,1.0,7.5,0.0,74.0,249.0,23486.0,2002.0,6165429.0
158.0,152.0,129.0,1.85,23000000.0,816.0,209.0,98.0,2.0,6.2,0.0,97.0,108.0,67653.0,2008.0,58006147.0
1000.0,844.0,622.0,2.35,12000000.0,3798.0,729.0,115.0,0.0,7.8,28000.0,433.0,274.0,91082.0,2013.0,17613460.0
873.0,560.0,310.0,2.35,65000000.0,2370.0,0.0,135.0,1.0,6.7,16000.0,308.0,593.0,125109.0,2009.0,43982842.0
742.0,360.0,318.0,2.35,20000000.0,2341.0,30.0,107.0,1.0,5.8,10000.0,123.0,185.0,62421.0,2010.0,62933793.0
4000.0,1000.0,898.0,1.85,12000000.0,7072.0,278.0,123.0,0.0,7.4,0.0,128.0,271.0,61651.0,2002.0,25776062.0
1000.0,1000.0,436.0,1.85,38000000.0,3696.0,188.0,99.0,0.0,6.8,5000.0,55.0,125.0,96607.0,1991.0,113502246.0
567.0,402.0,328.0,1.85,26000000.0,2954.0,41.0,91.0,1.0,5.2,0.0,167.0,201.0,84209.0,2009.0,20819129.0
18000.0,881.0,854.0,2.35,45000000.0,22370.0,845.0,122.0,2.0,7.7,0.0,109.0,633.0,305929.0,2001.0,76261036.0
22000.0,15000.0,15000.0,1.85,75000000.0,60646.0,0.0,102.0,1.0,7.1,0.0,269.0,289.0,88451.0,2007.0,66636385.0
25000.0,14000.0,1000.0,1.85,16500000.0,41059.0,0.0,136.0,2.0,7.7,0.0,69.0,196.0,78392.0,1995.0,42700000.0
10000.0,2000.0,884.0,1.85,170000000.0,14363.0,198.0,130.0,0.0,7.6,45000.0,521.0,620.0,317542.0,2014.0,208543795.0
13000.0,883.0,865.0,1.85,12000000.0,17417.0,18.0,110.0,1.0,4.6,458.0,42.0,133.0,6884.0,1999.0,175370.0
26000.0,12000.0,981.0,2.35,150000000.0,39284.0,14000.0,127.0,0.0,8.0,19000.0,518.0,1559.0,504419.0,2009.0,257704099.0
